公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
音娱时光,数据分析,北京,移动互联网,"['SQL', 'BI', 'SPSS']",1-3年,10k-18k,A轮
凡普金科,数据分析师（数据处理方向）,北京,金融,"['数据分析', 'MySQL', 'SQLServer']",3-5年,15k-25k,不需要融资
浙江保融,数据分析师,杭州,金融,['数据分析'],3-5年,10k-15k,不需要融资
数美,数据分析师,北京,"企业服务,数据服务","['数据挖掘', '数据分析']",1-3年,15k-25k,B轮
美团点评,数据分析,北京,消费生活,[],3-5年,15k-25k,上市公司
考虫网,数据分析师,北京,教育,['数据分析'],5-10年,15k-30k,D轮及以上
淘乐网络,数据分析师,深圳,游戏,"['数据分析', '数据运营']",1-3年,10k-18k,不需要融资
小步网络,数据分析师,深圳,移动互联网,"['数据分析', 'BI', '数据运营']",3-5年,20k-40k,B轮
贝壳,数据分析主管,深圳,房产家居,['数据分析'],不限,7k-12k,D轮及以上
算话智能科技有限公司,数据分析实习（可留意）,上海,"数据服务,移动互联网",['数据分析'],不限,3k-5k,B轮
字节跳动,产品数据分析师,北京,文娱丨内容,['产品'],3-5年,15k-30k,C轮
博悦科创,数据分析,深圳,移动互联网,"['BI', '数据分析']",1-3年,10k-13k,不需要融资
数美,数据分析师,北京,"企业服务,数据服务",['数据挖掘'],1-3年,20k-35k,B轮
YIDATEC,数据分析,深圳,"移动互联网,游戏","['SQL', '数据分析']",3-5年,10k-15k,不需要融资
信用生活,数据分析师,广州,"移动互联网,金融","['数据分析', 'SQL']",3-5年,20k-40k,A轮
黄金钱包,数据分析师,北京,"移动互联网,金融","['商业', '数据分析', '数据运营', 'BI']",3-5年,15k-25k,C轮
柏睿数据,数据分析师（应届生）,北京,"数据服务,信息安全","['数据分析', '数据库']",不限,8k-15k,B轮
噗嗤游戏,数据分析师,上海,"游戏,社交","['SQL', 'SPSS', '数据分析']",不限,15k-30k,不需要融资
最右,数据分析师,北京,文娱丨内容,"['BI', '数据分析']",3-5年,20k-40k,C轮
联元智能科技,数据分析师,上海,"移动互联网,数据服务","['BI', '商业', '数据分析']",3-5年,15k-30k,A轮
随行付支付有限公司,数据分析（实习生）(J10187),北京,金融,['风险分析'],不限,4k-6k,上市公司
同程艺龙,数据分析（苏州地区）,苏州,旅游,['数据分析'],3-5年,20k-40k,上市公司
婚礼纪,数据分析师,杭州,消费生活,['数据分析'],1-3年,10k-20k,D轮及以上
贝壳,高级数据分析师,北京,房产家居,"['数据分析', 'MySQL']",5-10年,20k-40k,D轮及以上
信用生活,数据分析师,上海,"移动互联网,金融","['数据分析', 'SQL']",3-5年,20k-40k,A轮
派拉软件,数据分析师,上海,数据服务,"['数据分析', '数据库', 'SQL']",3-5年,25k-40k,上市公司
达达-京东到家,数据分析师,上海,消费生活,[],3-5年,15k-25k,D轮及以上
苹果树,数据分析师,上海,"金融,数据服务","['SQL', '数据库']",不限,15k-30k,A轮
BLUE,数据分析,深圳,"消费生活,移动互联网","['数据分析', 'ETL', '数据处理']",3-5年,18k-30k,C轮
同程艺龙,数据分析（北京地区）,北京,旅游,['数据分析'],3-5年,20k-40k,上市公司
映客直播,数据分析师,广州,"移动互联网,文娱丨内容","['数据分析', '数据运营', '数据库']",1-3年,15k-25k,上市公司
省钱快报,数据分析师,北京,"移动互联网,电商",[],3-5年,20k-40k,C轮
黄金钱包,数据分析师,北京,"移动互联网,金融","['数据运营', '数据库', 'SQL']",1-3年,10k-15k,C轮
TapTap,数据分析师,上海,"游戏,社交","['数据库', '数据分析', 'SQL']",1-3年,15k-25k,B轮
